,epoch,train_loss,val_loss
0,1,1850.9904131889343,0.0
1,2,1561.492039680481,0.0
2,3,1570.2004899978638,0.0
3,4,1586.7342910766602,0.0
4,5,1579.86763048172,0.0
5,6,1602.5471215248108,0.0
6,7,1691.1136693954468,0.0
